Sample#,Location,Replicate,Depth,Sampling Period,SamplingMonth,Tin Weight (g),Tin + wet soil (g),Tin + dry soil wt (g),Soil for Fe in 0.5 M HCl (g),Soil for P in 0.5 M NaHCO3 (g),Soil for pH (g),Time H2O added,Time pH read,pH,NaOH wt reagent,NaHCO3 wt reagent,HCl wt reagent,2M KCl wt reagent N concentrations day 0,2M KCl wt reagent N transformations day 7,Soil wt in 2M KCl cup (g) for N concetrations day 0,Soil for N transformations wt day 0,Soil for N transformations wt day 7,Fe(II) concentration (mg-Fe/g),Fe(II+III) concentration (mg-Fe/g),FeIII_mg_Fe_per_dry_weight_soil_g,Bicarb-Pi,Bicarb-Pt,Bicarb-Po,NaOH-Pi,NaOH-Pt,NaOH-Po,Total P
20,Valley,2,0-15,Drought,15-Jul,,,,,,,1:47,1:58,4.8,,,,,,,,,0.537643111,4.034405433,3.496762322,1.100904954,38.39704793,37.29614297,48.80678631,149.3977367,100.5909504,187.7947846
21,Valley,3,0-15,Drought,15-Jul,,,,,,,1:34,1:46,4.94,,,,,,,,,0.571107019,4.898210114,4.327103095,2.171691573,58.4308058,56.25911423,76.00920505,220.1290419,144.1198369,278.5598477
22,Valley,4,0-15,Drought,15-Jul,,,,,,,1:28,1:38,5.27,,,,,,,,,4.417669082,8.323273429,3.905604347,2.059455822,52.33263782,50.273182,67.13825978,177.9529476,110.8146878,230.2855855
23,Valley,5,0-15,Drought,15-Jul,,,,,,,1:14,1:24,5.15,,,,,,,,,8.687691267,10.74943361,2.061742343,5.12059733,62.62412547,57.50352814,116.377212,251.3973316,135.0201195,314.021457
24,Valley,6,0-15,Drought,15-Jul,,,,,,,1:03,1:14,4.89,,,,,,,,,0.110893539,3.139136146,3.028242607,1.729972423,51.71784262,49.98787019,61.84651411,208.4138369,146.5673228,260.1316795
25,Ridge,1,15-30,Drought,15-Jul,,,,,,,4:09,4:19,4.58,,,,,,,,,0.029420253,0.707591486,0.678171233,0,5.11571716,5.11571716,24.29929365,65.40071605,41.1014224,70.51643321
26,Ridge,2,15-30,Drought,15-Jul,,,,,,,5:06,5:19,4.93,,,,,,,,,0.013224733,0.534943438,0.521718705,0,2.387566712,2.387566712,16.9312942,61.04660116,44.11530697,63.43416787
27,Ridge,3,15-30,Drought,15-Jul,,,,,,,5:08,5:20,4.37,,,,,,,,,0.025367172,1.207718217,1.182351045,0,2.551439988,2.551439988,21.50723986,70.90935001,49.40211015,73.46079
28,Ridge,4,15-30,Drought,15-Jul,,,,,,,5:24,5:34,4.75,,,,,,,,,0.018852373,0.592858524,0.574006151,0,10.82153808,10.82153808,10.24486768,21.82534478,11.5804771,32.64688286
29,Ridge,5,15-30,Drought,15-Jul,,,,,,,5:26,5:36,4.7,,,,,,,,,0.043768277,0.730874847,0.68710657,0,7.709644251,7.709644251,32.6659626,122.8456203,90.17965767,130.5552645
30,Ridge,6,15-30,Drought,15-Jul,,,,,,,5:28,5:38,4.61,,,,,,,,,0.026221609,0.634201898,0.607980289,1.288844313,9.877284192,8.588439879,26.43177426,101.5681215,75.13634725,111.4454057
31,Mid-slope,1,15-30,Drought,15-Jul,,,,,,,5:57,6:07,4.53,,,,,,,,,0.066430982,2.324976206,2.258545224,0.63326055,5.119794061,4.486533511,34.25163188,116.6767951,82.42516319,121.7965891
32,Mid-slope,2,15-30,Drought,15-Jul,,,,,,,5:13,5:23,4.7,,,,,,,,,0.049319142,1.092619786,1.043300644,1.498270225,2.272773445,0.77450322,18.55003582,70.74444041,52.19440459,73.01721386
33,Mid-slope,3,15-30,Drought,15-Jul,,,,,,,5:21,5:31,4.95,,,,,,,,,0.036299774,0.849048106,0.812748332,0,4.504220896,4.504220896,12.05336888,30.04339926,17.99003038,34.54762016
34,Mid-slope,4,15-30,Drought,15-Jul,,,,,,,5:59,6:09,5.12,,,,,,,,,0.01190581,0.239343861,0.227438051,0,10.36813525,10.36813525,15.73017033,65.34656996,49.61639963,75.71470521
35,Mid-slope,5,15-30,Drought,15-Jul,,,,,,,6:01,6:11,5.01,,,,,,,,,0.01285828,0.351251474,0.338393194,0,2.514089635,2.514089635,23.21072038,64.28160792,41.07088754,66.79569755
36,Mid-slope,6,15-30,Drought,15-Jul,,,,,,,6:03,6:13,4.64,,,,,,,,,0.021273639,0.459328579,0.43805494,0.981331521,5.102331106,4.120999585,18.43279416,65.22958511,46.79679095,70.33191621
37,Low-slope,1,15-30,Drought,15-Jul,,,,,,,6:05,6:15,4.86,,,,,,,,,0.010473836,0.186817185,0.176343349,0.625601157,8.363631187,7.73803003,26.73150858,52.96966418,26.23815561,61.33329537
38,Low-slope,2,15-30,Drought,15-Jul,,,,,,,6:15,6:25,4.79,,,,,,,,,0.010403804,0.202937391,0.192533587,0,8.533202453,8.533202453,9.66655185,42.66601226,32.99946041,51.19921472
39,Low-slope,3,15-30,Drought,15-Jul,,,,,,,6:17,6:28,5.41,,,,,,,,,0.499060949,4.317553712,3.818492763,4.968958402,14.28345404,9.314495641,78.73887929,155.6099831,76.87110376,169.8934371
40,Low-slope,4,15-30,Drought,15-Jul,,,,,,,6:19,6:30,5.27,,,,,,,,,0.02711758,0.928602292,0.901484712,0.357781629,5.347973689,4.99019206,34.70481805,104.041223,69.33640493,109.3891967
41,Low-slope,5,15-30,Drought,15-Jul,,,,,,,6:22,6:32,4.93,,,,,,,,,0.018332329,0.525374346,0.507042017,0,8.574124941,8.574124941,27.91580683,95.31646903,67.40066221,103.890594
42,Low-slope,6,15-30,Drought,15-Jul,,,,,,,6:24,6:34,4.95,,,,,,,,,0.020075336,0.494298586,0.47422325,0.355270317,2.655217806,2.299947489,39.79027546,112.1661688,72.37589338,114.8213866
43,Valley,1,15-30,Drought,15-Jul,,,,,,,6:37,6:47,5.24,,,,,,,,,2.136101626,5.540320385,3.404218759,1.612516483,7.230971368,5.618454884,69.01570549,155.4109154,86.39520996,162.6418868
44,Valley,2,15-30,Drought,15-Jul,,,,,,,6:40,6:50,5.32,,,,,,,,,1.890353213,2.990795463,1.10044225,1.454595277,5.435674049,3.981078771,45.81975124,111.7900815,65.97033023,117.2257555
45,Valley,3,15-30,Drought,15-Jul,,,,,,,6:42,6:52,5.05,,,,,,,,,4.953252155,7.402037086,2.448784931,2.357296567,7.550551379,5.193254812,61.96322404,123.108553,61.145329,130.6591044
46,Valley,4,15-30,Drought,15-Jul,,,,,,,6:44,6:54,5.04,,,,,,,,,11.97401165,9.474379577,-2.499632073,1.592730085,8.927804583,7.335074498,62.11647332,135.6392612,73.52278788,144.5670658
47,Valley,5,15-30,Drought,15-Jul,,,,,,,6:53,7:03,5.47,,,,,,,,,17.23310307,17.84268448,0.60958141,11.21957108,23.47877935,12.25920827,158.8691265,216.2636886,57.39456204,239.7424679
48,Valley,6,15-30,Drought,15-Jul,,,,,,,6:54,7:04,4.82,,,,,,,,,0.282730712,0.747156429,0.464425717,1.679445345,9.413873696,7.73442835,62.55933911,163.9544121,101.395073,173.3682858
